2022-12-19 19:18:06 INFO  HomePage :86 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-19 19:18:45 INFO  RegisterPage :134 - Click on 'REGISTER' button to see the error message[[[ChromeDriver: chrome on WINDOWS (224c316fe913aeeedbfe052bbd90ecd0)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (224c316fe913aeeedbfe052bbd90ecd0)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (224c316fe913aeeedbfe052bbd90ecd0)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (224c316fe913aeeedbfe052bbd90ecd0)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (224c316fe913aeeedbfe052bbd90ecd0)] -> class name: field-validation-error]]
2022-12-19 19:18:48 INFO  HomePage :56 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (baa562bda9b41568268d75c7916e8a36)] -> link text: Register]
2022-12-19 19:18:49 INFO  RegisterPage :125 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (baa562bda9b41568268d75c7916e8a36)] -> css selector: #register-button]
2022-12-19 19:18:49 INFO  RegisterPage :134 - Click on 'REGISTER' button to see the error message[[[ChromeDriver: chrome on WINDOWS (baa562bda9b41568268d75c7916e8a36)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (baa562bda9b41568268d75c7916e8a36)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (baa562bda9b41568268d75c7916e8a36)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (baa562bda9b41568268d75c7916e8a36)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (baa562bda9b41568268d75c7916e8a36)] -> class name: field-validation-error]]
2022-12-19 19:18:53 INFO  HomePage :56 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (3e3a35a8120990a76facc145f9fc97a4)] -> link text: Register]
2022-12-19 19:18:54 INFO  RegisterPage :125 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (3e3a35a8120990a76facc145f9fc97a4)] -> css selector: #register-button]
2022-12-19 19:18:54 INFO  RegisterPage :134 - Click on 'REGISTER' button to see the error message[[[ChromeDriver: chrome on WINDOWS (3e3a35a8120990a76facc145f9fc97a4)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (3e3a35a8120990a76facc145f9fc97a4)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (3e3a35a8120990a76facc145f9fc97a4)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (3e3a35a8120990a76facc145f9fc97a4)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (3e3a35a8120990a76facc145f9fc97a4)] -> class name: field-validation-error]]
2022-12-19 19:18:57 INFO  HomePage :56 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (fe276a4a1c163c5e3fcc82eedb29c7fb)] -> link text: Register]
2022-12-19 19:18:57 INFO  RegisterPage :125 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (fe276a4a1c163c5e3fcc82eedb29c7fb)] -> css selector: #register-button]
2022-12-19 19:18:58 INFO  RegisterPage :134 - Click on 'REGISTER' button to see the error message[[[ChromeDriver: chrome on WINDOWS (fe276a4a1c163c5e3fcc82eedb29c7fb)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (fe276a4a1c163c5e3fcc82eedb29c7fb)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (fe276a4a1c163c5e3fcc82eedb29c7fb)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (fe276a4a1c163c5e3fcc82eedb29c7fb)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (fe276a4a1c163c5e3fcc82eedb29c7fb)] -> class name: field-validation-error]]
2022-12-19 19:19:13 INFO  HomePage :86 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (1654809d74b15e86401d491cf4bd32ba)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (1654809d74b15e86401d491cf4bd32ba)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (1654809d74b15e86401d491cf4bd32ba)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (1654809d74b15e86401d491cf4bd32ba)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (1654809d74b15e86401d491cf4bd32ba)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (1654809d74b15e86401d491cf4bd32ba)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (1654809d74b15e86401d491cf4bd32ba)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-19 19:19:14 INFO  ComputerPage :30 - Get pageTitle text : [[ChromeDriver: chrome on WINDOWS (1654809d74b15e86401d491cf4bd32ba)] -> css selector: div[class='page-title'] h1]
2022-12-19 19:19:18 INFO  HomePage :86 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-19 19:19:19 INFO  ComputerPage :37 - Click on '[[[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-19 19:19:20 INFO  DesktopsPage :38 - Get pageTitle text [[ChromeDriver: chrome on WINDOWS (471b72695c346b59f9ee505fb76ccc08)] -> css selector: div[class='page-title'] h1]
2022-12-19 19:19:23 INFO  HomePage :86 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-19 19:19:24 INFO  ComputerPage :37 - Click on '[[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-19 19:19:25 INFO  DesktopsPage :55 - Click on product 'Build your own computer[[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-19 19:19:27 INFO  BuildYourOwnComputerPage :60 - Select processor '[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> id: product_attribute_1]
2022-12-19 19:19:27 INFO  BuildYourOwnComputerPage :65 - Select RAM '[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> id: product_attribute_2]
2022-12-19 19:19:27 INFO  BuildYourOwnComputerPage :73 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-12-19 19:19:27 INFO  BuildYourOwnComputerPage :83 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-12-19 19:19:27 INFO  BuildYourOwnComputerPage :93 - Select Software '[[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-12-19 19:19:27 INFO  BuildYourOwnComputerPage :100 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-19 19:19:28 INFO  BuildYourOwnComputerPage :106 - Get productAdded Message : [[ChromeDriver: chrome on WINDOWS (c70e4f1c3ffd69494b9111d923a72d5b)] -> xpath: //p[@class='content']]
2022-12-19 19:19:30 INFO  HomePage :86 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-19 19:19:31 INFO  ComputerPage :37 - Click on '[[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-19 19:19:32 INFO  DesktopsPage :55 - Click on product 'Build your own computer[[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-19 19:19:33 INFO  BuildYourOwnComputerPage :60 - Select processor '[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> id: product_attribute_1]
2022-12-19 19:19:33 INFO  BuildYourOwnComputerPage :65 - Select RAM '[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> id: product_attribute_2]
2022-12-19 19:19:33 INFO  BuildYourOwnComputerPage :73 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-12-19 19:19:33 INFO  BuildYourOwnComputerPage :83 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-12-19 19:19:33 INFO  BuildYourOwnComputerPage :93 - Select Software '[[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-12-19 19:19:33 INFO  BuildYourOwnComputerPage :100 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-19 19:19:34 INFO  BuildYourOwnComputerPage :106 - Get productAdded Message : [[ChromeDriver: chrome on WINDOWS (6b3a4bfad489c93efd8912a9af3a3552)] -> xpath: //p[@class='content']]
2022-12-19 19:19:38 INFO  HomePage :86 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-19 19:19:39 INFO  ComputerPage :37 - Click on '[[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-19 19:19:39 INFO  DesktopsPage :55 - Click on product 'Build your own computer[[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-19 19:19:41 INFO  BuildYourOwnComputerPage :60 - Select processor '[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> id: product_attribute_1]
2022-12-19 19:19:41 INFO  BuildYourOwnComputerPage :65 - Select RAM '[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> id: product_attribute_2]
2022-12-19 19:19:41 INFO  BuildYourOwnComputerPage :73 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-12-19 19:19:41 INFO  BuildYourOwnComputerPage :83 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-12-19 19:19:41 INFO  BuildYourOwnComputerPage :93 - Select Software '[[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-12-19 19:19:41 INFO  BuildYourOwnComputerPage :100 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-19 19:19:42 INFO  BuildYourOwnComputerPage :106 - Get productAdded Message : [[ChromeDriver: chrome on WINDOWS (ec07280d542e5a28e5acd78e9ca08882)] -> xpath: //p[@class='content']]
2022-12-19 19:19:45 INFO  HomePage :45 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (5463401814a0239d5f0de85babb327b5)] -> link text: Log in]
2022-12-19 19:19:46 INFO  LoginPage :38 - Getting welcome text [[ChromeDriver: chrome on WINDOWS (5463401814a0239d5f0de85babb327b5)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-12-19 19:19:49 INFO  HomePage :45 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (f36094aa85c82b3ec5c40224adf6d14e)] -> link text: Log in]
2022-12-19 19:19:49 INFO  LoginPage :43 - Enter email testerhv123@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (f36094aa85c82b3ec5c40224adf6d14e)] -> id: Email]
2022-12-19 19:19:49 INFO  LoginPage :48 - Enter password password123 to password field [[ChromeDriver: chrome on WINDOWS (f36094aa85c82b3ec5c40224adf6d14e)] -> name: Password]
